group,left,right,min,max,node,clade_pretty,fossil,authority,locality,outgroup_sequence,age_authority
Total_group_Pylodictis,Pylodictis_olivaris,Noturus_exilis,16.3,73.03363363,3809,Total group Pylodictis,Pylodictis olivaris,Lundberg (1975),"Sheep Creek Formation, USA","Total group Pylodictis	Total group Ameiurus	Total group Ictaluridae	Total group Characiformes	Chanidae vs Kneriidae	Crown Otomorpha	Total group Euteleostei	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1","Hemingfordian NALMA, age estimate derived from Gradstein et al. (2012)"
Crown_Brachyplatystoma,Brachyplatystoma_filamentosum,Brachyplatystoma_tigrinum,12.8,74.60740741,4201,Crown Brachyplatystoma,Brachyplatystoma promagdlaena,Lundberg (2005),"Villavieja Formation, Colombia","Crown Brachyplatystoma	MRCA Chrysichthys	Total group Ictaluridae	Total group Characiformes	Chanidae vs Kneriidae	Crown Otomorpha	Total group Euteleostei	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1",Guerrero (1997)
MRCA_Chrysichthys,Chrysichthys_dendrophorus,Imparfinis_minutus,45,100.1101101,4272,MRCA Chrysichthys,Chrysichthys mahengeensis,Murray & Budney (2003),"Mahenge, Tanzania","MRCA Chrysichthys	Total group Ictaluridae	Total group Characiformes	Chanidae vs Kneriidae	Crown Otomorpha	Total group Euteleostei	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1",Harrison et al. (2001)
Total_group_Synodontis,Synodontis_centralis,Mochokiella_paynei,28.1,77.18088088,4365,Total group Synodontis,Synodontis sp.,Otero & Gayet (2001),"Thaytiniti, Sultanate of Oman","Total group Synodontis	MRCA Chrysichthys	Total group Ictaluridae	Total group Characiformes	Chanidae vs Kneriidae	Crown Otomorpha	Total group Euteleostei	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1","Early Oligocene (i.e., Rupelian), age estimate derived from Gradstein et al. (2001)"
Crown_Catostomidae,Myxocyprinus_asiaticus,Ictiobus_niger,48.88,121.7467868,4508,Crown Catostomidae,Amyzon aggregatum,Near etal. 2012,"Klondike Mountain Formation, Republic, Washington, United States ( † A. aggregatum) (39, 40).","Crown Catostomidae	Total group Characiformes	Chanidae vs Kneriidae	Crown Otomorpha	Total group Euteleostei	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1","See argumentation in Near et al. (2012), calibration 8"
Total_group_Cyprinini,Cyprinus_carpio,Puntius_snyderi,40.14,97.50678679,5755,Total group Cyprinini,Cyprinus maomingensis,Chen et al. (2015),"Youganwo Formation, China (Liu, 1957)","Total group Cyprinini	Crown Catostomidae	Total group Characiformes	Chanidae vs Kneriidae	Crown Otomorpha	Total group Euteleostei	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1","Chron 18R, age estimate derived from Gradstein et al. (2012)"
Total_group_Cyprinus,Cyprinus_carpio,Carassioides_acuminatus,23.03,73.13741742,5758,Total group Cyprinus,Huashancyprinus robustispinus,Chen & Chang (2011),"Yongning Group, China","Total group Cyprinus	Total group Cyprinini	Crown Catostomidae	Total group Characiformes	Chanidae vs Kneriidae	Crown Otomorpha	Total group Euteleostei	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1","Oligocene, age estimate derived from Gradstein et al. (2012)"
Total_group_Macropinna,Macropinna_microstoma,Rhynchohyalus_natalensis,7.246,107.9621682,7936,Total group Macropinna,Macropinna sp,Nazarkin (in press),"Kurasi Formation, Sakhalin","Total group Macropinna	Total group Esocidae	Total group Aulopiformes	Total group Euteleostei	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1","Serravallian-Tortonian, age estimate derived from Gradstein et al. (2012)"
Total_group_Esocidae,Esox_lucius,Novumbra_hubbsi,76.4,139.7577578,7955,Total group Esocidae,Estesesox foxi,Wilson et al. (1992),"Milk River Formation, Canada","Total group Esocidae	Total group Aulopiformes	Total group Euteleostei	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1","See argumentation in Near et al. (2012), calibration 9"
Crown_Esox,Esox_lucius,Esox_niger,51.57,114.0734535,7957,Crown Esox,Esox kronneri,Grande (1999),"Fossil Butte Member, Green River Formation (F-2 locality), Wyoming, USA","Crown Esox	Total group Esocidae	Total group Aulopiformes	Total group Euteleostei	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1",Smith et al. (2008)
Total_group_Salmoninae,Coregonus_nasus,Salmo_salar,51.43,113.9565766,7970,Total group Salmoninae,Eosalmo driftwoodensis,51.77± 0.34,Wilson & Li (1999),"Total group Salmoninae	Total group Esocidae	Total group Aulopiformes	Total group Euteleostei	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1","See argumentation in Near et al. (2012), calibration 10"
Total_group_Hucho,Thymallus_thymallus,Salmo_salar,15.4,85.95255255,8034,Total group Hucho,Hucho sp.,Smith & Miller (1985),"Clarkia Lake Beds, Idaho, USA","Total group Hucho	Total group Salmoninae	Total group Esocidae	Total group Aulopiformes	Total group Euteleostei	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1",Ladderrud et al. (2015)
Total_group_Oncorynchus,Oncorhynchus_mykiss,Salmo_salar,8.2,60.97777778,8102,Total group Oncorynchus,Oncorhynchus ('Smilodonichthys') rastrosus,Smith et al. (1982),"Brown Creek, Idaho, USA","Total group Oncorynchus	Total group Hucho	Total group Salmoninae	Total group Esocidae	Total group Aulopiformes	Total group Euteleostei	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1","Smith et al. (1982), Stearley and Smith (2016)"
Oncorhynchus_keta,Oncorhynchus_keta,Oncorhynchus_gorbuscha,4.8,40.55255255,8124,Oncorhynchus keta,Oncorhynchus keta,Smith (1992),"Chalk Hills Formation, Oregon","Oncorhynchus keta	Total group Oncorynchus	Total group Hucho	Total group Salmoninae	Total group Esocidae	Total group Aulopiformes	Total group Euteleostei	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1","Smith (1992), Stearley and Smith (2016)"
Total_group_Stomiiformes,Stomias_affinis,Salangichthys_microdon,93.9,142.0104104,8146,Total group Stomiiformes,Paravinciguerria praecursor,Carnevale & Rindoni (2011),"Monti Nebrodi and Monti Peloritani, Sicily, Italy","Total group Stomiiformes	Total group Aulopiformes	Total group Euteleostei	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1","Cenomanian, age estimate derived from Gradstein et al. (2012)"
